Date,Place,Opp,Result,TmScore,OppScore,FG,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FGOpp,FGAOpp,FG%Opp,3POpp,3PAOpp,3P%Opp,FTOpp,FTAOpp,FT%Opp,ORBOpp,TRBOpp,ASTOpp,STLOpp,BLKOpp,TOVOpp,PFOpp,Team
2020-11-25,2,ETSU,W,70,47,20,49,0.408,13,23,0.565,17,27,0.63,6,30,14,8,3,15,21,15,51,0.294,3,21,0.143,14,17,0.824,11,38,5,6,2,22,26,abilene-christian
2020-11-27,2,Austin Peay,W,80,72,29,53,0.547,5,9,0.556,17,29,0.586,5,25,12,12,1,15,18,27,59,0.458,5,17,0.294,13,16,0.813,11,32,12,2,1,18,23,abilene-christian
2020-11-28,2,Omaha,W,70,58,26,58,0.448,6,12,0.5,12,20,0.6,10,32,15,9,0,14,14,23,52,0.442,2,14,0.143,10,13,0.769,5,30,11,9,2,23,21,abilene-christian
2020-12-01,1,Howard Payne,W,81,51,30,70,0.429,9,33,0.273,12,21,0.571,17,45,19,14,4,19,16,17,50,0.34,6,19,0.316,11,15,0.733,5,27,9,4,3,29,21,abilene-christian
2020-12-05,1,Tarleton State,W,69,48,23,56,0.411,9,27,0.333,14,22,0.636,10,29,15,10,2,14,21,15,35,0.429,1,8,0.125,17,29,0.586,5,30,5,10,4,28,25,abilene-christian
2020-12-09,0,Texas Tech,L,44,51,16,45,0.356,6,18,0.333,6,9,0.667,3,23,6,8,3,20,31,12,43,0.279,2,15,0.133,25,37,0.676,11,28,7,9,6,16,16,abilene-christian
2020-12-12,1,McMurry,W,83,46,31,71,0.437,8,31,0.258,13,22,0.591,15,41,20,14,2,10,19,19,53,0.358,7,22,0.318,1,8,0.125,9,34,8,4,4,26,24,abilene-christian
2020-12-16,1,Hardin-Simmons,W,95,73,32,68,0.471,4,17,0.235,27,43,0.628,16,37,16,13,4,11,18,27,57,0.474,7,16,0.438,12,15,0.8,6,31,13,3,3,25,29,abilene-christian
2020-12-22,0,Arkansas,L,72,85,29,61,0.475,5,22,0.227,9,15,0.6,8,25,13,3,4,12,19,26,59,0.441,9,25,0.36,24,30,0.8,12,36,15,6,5,13,18,abilene-christian
2020-12-29,1,Dallas Christian,W,82,44,31,61,0.508,6,29,0.207,14,23,0.609,10,41,18,12,5,13,16,15,49,0.306,10,22,0.455,4,9,0.444,5,23,8,5,0,25,22,abilene-christian
2021-01-02,1,Lamar,W,83,65,30,69,0.435,9,20,0.45,14,21,0.667,15,38,21,11,3,13,23,21,51,0.412,4,20,0.2,19,24,0.792,7,29,11,3,6,18,20,abilene-christian
2021-01-06,0,Houston Christian,W,66,63,27,65,0.415,3,22,0.136,9,11,0.818,13,40,17,6,3,13,20,20,51,0.392,6,19,0.316,17,22,0.773,3,26,8,6,9,15,20,abilene-christian
2021-01-16,1,Southeastern Louisiana,W,76,42,24,54,0.444,9,24,0.375,19,27,0.704,9,31,21,16,5,14,26,11,36,0.306,4,15,0.267,16,28,0.571,5,28,6,8,5,29,28,abilene-christian
2021-01-20,0,Sam Houston State,L,57,64,23,61,0.377,3,19,0.158,8,15,0.533,11,29,21,6,3,11,20,21,53,0.396,6,17,0.353,16,26,0.615,15,44,12,5,3,16,17,abilene-christian
2021-01-23,1,Central Arkansas,W,93,58,34,64,0.531,12,31,0.387,13,18,0.722,8,31,29,11,6,12,18,21,54,0.389,4,14,0.286,12,16,0.75,8,30,6,6,1,24,23,abilene-christian
2021-01-27,1,Stephen F. Austin,W,82,62,26,63,0.413,6,24,0.25,24,29,0.828,12,36,12,7,5,11,19,23,54,0.426,2,8,0.25,14,25,0.56,13,41,10,8,5,22,25,abilene-christian
2021-01-30,0,Incarnate Word,W,75,67,25,52,0.481,6,23,0.261,19,25,0.76,12,38,17,2,1,12,17,21,53,0.396,12,29,0.414,13,17,0.765,4,20,15,7,0,8,20,abilene-christian
2021-02-06,0,Lamar,W,77,62,30,61,0.492,11,22,0.5,6,12,0.5,9,30,20,11,2,7,14,22,45,0.489,10,12,0.833,8,15,0.533,7,31,11,4,4,17,15,abilene-christian
2021-02-08,0,Texas A&M-Corpus Christi,W,82,69,31,60,0.517,6,15,0.4,14,21,0.667,10,30,20,8,3,8,16,23,49,0.469,5,13,0.385,18,20,0.9,5,27,11,2,1,16,18,abilene-christian
2021-02-10,1,Houston Christian,W,88,59,33,71,0.465,13,28,0.464,9,18,0.5,17,40,26,18,4,19,22,20,56,0.357,4,21,0.19,15,23,0.652,10,33,11,14,6,24,17,abilene-christian
2021-02-13,1,Texas A&M-Corpus Christi,W,83,55,27,56,0.482,7,26,0.269,22,27,0.815,5,30,19,13,6,13,24,15,51,0.294,3,14,0.214,22,30,0.733,7,31,7,6,2,23,21,abilene-christian
2021-02-24,1,Sam Houston State,W,86,72,29,57,0.509,10,19,0.526,18,22,0.818,8,28,21,6,3,14,12,29,60,0.483,5,20,0.25,9,11,0.818,6,25,14,9,4,12,20,abilene-christian
2021-02-27,0,Central Arkansas,L,82,84,28,62,0.452,12,23,0.522,14,22,0.636,6,31,23,9,1,11,25,28,55,0.509,7,19,0.368,21,33,0.636,9,37,16,5,4,13,19,abilene-christian
2021-03-03,0,Stephen F. Austin,W,63,61,22,45,0.489,4,13,0.308,15,26,0.577,7,25,13,4,1,22,30,18,41,0.439,2,15,0.133,23,35,0.657,3,22,7,15,1,15,21,abilene-christian
2021-03-06,1,Incarnate Word,W,85,60,30,68,0.441,12,33,0.364,13,14,0.929,13,42,22,14,5,13,18,19,53,0.358,10,24,0.417,12,16,0.75,5,27,14,7,2,18,11,abilene-christian
2021-03-12,2,Lamar,W,93,71,34,64,0.531,9,21,0.429,16,21,0.762,11,32,22,11,2,10,12,29,56,0.518,7,15,0.467,6,8,0.75,5,23,9,6,8,16,17,abilene-christian
2021-03-13,2,Nicholls State,W,79,45,29,64,0.453,11,22,0.5,10,11,0.909,13,51,19,12,3,16,15,19,64,0.297,4,27,0.148,3,11,0.273,12,32,8,10,6,15,12,abilene-christian
2021-03-20,2,Texas,W,53,52,20,67,0.299,3,18,0.167,10,12,0.833,13,30,9,11,0,9,15,18,40,0.45,7,20,0.35,9,11,0.818,5,30,15,6,9,22,16,abilene-christian
2021-03-22,2,UCLA,L,47,67,17,57,0.298,4,19,0.211,9,11,0.818,7,30,13,3,2,9,15,27,58,0.466,7,19,0.368,6,13,0.462,11,41,15,4,4,7,15,abilene-christian
2020-11-28,2,Cal State Northridge,W,66,61,21,48,0.438,11,25,0.44,13,19,0.684,3,28,14,5,2,13,17,20,55,0.364,7,29,0.241,14,18,0.778,6,31,7,6,0,10,16,air-force
2020-11-29,2,Seattle,L,45,63,16,40,0.4,6,20,0.3,7,8,0.875,4,22,9,2,0,15,15,24,57,0.421,11,29,0.379,4,6,0.667,6,24,16,4,3,5,13,air-force
